rank,original_index,final_score,match_score,diversity_score,clustering_score,is_ground_truth,temperature,humidity,pressure
83,34891,1.178719660603456,1.0,0.6303467960116312,0.7892124525057321,True,17.77777778,0.52,1015.1
84,53391,1.1781264374796692,1.0,1.0,0.695316093699173,True,24.83888889,0.31,1015.07
85,67257,1.1779502275104785,1.0,0.7174200885054312,0.7655205466498382,True,22.22222222,0.55,1014.87
86,71075,1.1766719749439056,1.0,0.7764929194222701,0.7475567075041964,True,21.86666667,0.51,1016.77
87,83753,1.175312376728956,1.0,0.756001331735103,0.7492806088886141,True,22.33333333,0.53,1013.85
88,65180,1.1744829767519052,1.0,0.6346657205319747,0.7775410117467689,True,21.37777778,0.58,1015.44
89,30707,1.1735314261957663,0.9025000000000034,0.6235440469706682,0.9729425537467417,False,19.63888889,0.55,1017.39
90,61290,1.1725283865602574,0.8574999999999875,1.0,0.966320966400668,False,27.87222222,0.35,1012.43
91,21948,1.1723017297620548,1.0,1.0,0.6807543244051367,True,27.44444444,0.42,1013.8
92,61128,1.1705138726782307,1.0,0.519978709789933,0.7962900042480936,True,18.33333333,0.58,1013.55
93,44339,1.170239857978174,1.0,0.5975302942287993,0.776217071388235,True,17.37777778,0.53,1013.63
94,30011,1.1679991283112088,1.0,0.7960664261817072,0.7209812142325948,True,21.89444444,0.5,1014.89
95,61150,1.1673275100607803,1.0,0.6828132150466227,0.7476154713902947,True,22.17777778,0.57,1014.18
96,18945,1.1656956136325778,1.0,0.7707093724954096,0.721561690957592,True,22.71111111,0.53,1015.48
97,10006,1.1637435049561236,1.0,0.7159231539731736,0.7303779738970154,True,22.59444444,0.56,1015.05
98,14746,1.163537339777907,1.0,1.0,0.6588433494447675,True,26.25,0.42,1014.43
99,84973,1.16339043872209,1.0,1.0,0.6584760968052247,True,23.86666667,0.35,1014.17
100,87590,1.162183991312181,0.9275000000000091,0.6895043369782061,0.8780838940358827,False,19.83333333,0.52,1017.29
101,83723,1.1620385360244487,0.9675000000000011,0.6490555358051464,0.807832456109833,False,21.31666667,0.57,1017.13
102,53175,1.158878021305444,0.975,1.0,0.6971950532636099,False,30.0,0.29,1015.2
103,69518,1.1515241691633094,1.0,0.7922116721321223,0.6807575048752429,True,19.75555556,0.47,1014.29
104,10092,1.1508842589103083,0.9950000000000045,0.8255837332161069,0.6808147139717343,False,22.17777778,0.49,1017.02
105,76404,1.1500788516634468,1.0,1.0,0.6251971291586171,True,26.11666667,0.43,1014.83
106,60900,1.1485695296199394,1.0,1.0,0.6214238240498486,True,25.97222222,0.43,1016.12
107,18929,1.1464174607394466,0.9500000000000001,1.0,0.7160436518486165,False,27.75,0.28,1015.49
108,85690,1.1336573015340718,1.0,0.7097262829624231,0.6567116830945738,True,17.22222222,0.48,1016.28
109,21514,1.133109219505523,0.977499999999992,0.5870738558000953,0.7310045848137993,False,20.99444444,0.6,1012.91
110,25624,1.13117275458248,0.8574999999999875,1.0,0.8629318864562244,False,27.2,0.32,1017.57
111,16860,1.1299009175215782,1.0,0.8419699869089261,0.6142597970767139,True,19.95,0.45,1016.91
112,69735,1.1252524226082348,1.0,0.7689432664414971,0.6208952399102122,True,17.82222222,0.46,1016.31
113,76362,1.1243997103553853,0.9025000000000034,0.6839881062137003,0.8350022493350313,False,21.36666667,0.55,1012.61
114,27096,1.1242483614588914,1.0,0.6273469677261088,0.6537841617157012,True,22.22222222,0.61,1015.7
115,52576,1.1225816031833877,0.8849999999999909,0.5779700264329956,0.8919615013502387,False,18.90555556,0.56,1012.54
116,22480,1.1205042997639931,0.8075000000000045,1.0,0.9362607494099736,False,27.33888889,0.34,1012.23
117,12921,1.1164677972663024,1.0,0.8229325126024403,0.5854363650151457,True,24.79444444,0.55,1014.65
118,74918,1.1157666281252858,1.0,0.6953272412314564,0.6155847600053501,True,23.46111111,0.6,1013.34
119,27551,1.1155748579666027,1.0,0.6958114774685675,0.6149842755493645,True,23.47222222,0.6,1013.26
120,65172,1.1134852558538015,1.0,0.8640836376310681,0.5676922302267365,True,25.04444444,0.53,1016.52
121,23985,1.1127950063092333,1.0,0.8484365249614592,0.5698783845327186,True,25.05,0.54,1013.76
122,49984,1.1117435410824794,0.8249999999999886,1.0,0.8793588527062212,False,27.70555556,0.37,1017.7
123,53481,1.1103899467538967,1.0,1.0,0.5259748668847417,True,22.11111111,0.39,1015.7
124,67546,1.110187402353914,1.0,0.909263225172084,0.5481526995917635,True,20.84444444,0.43,1015.55
125,13005,1.0991952146506345,1.0,0.8394727602317703,0.538119846568644,True,17.82777778,0.43,1015.36
126,26344,1.0904253505318793,0.8499999999999943,0.5989546744061356,0.8763247077281757,False,20.0,0.57,1017.6
127,47749,1.083543858140562,0.8325000000000102,0.6859193735737606,0.8723798019579444,False,20.92777778,0.54,1012.33
128,14800,1.0827961977994827,0.8100000000000023,0.6246824253881177,0.9308198881516726,False,19.11111111,0.54,1012.24
