rank,original_index,final_score,match_score,diversity_score,is_ground_truth,temperature,humidity,pressure
427,6539,1.0,1.0,0.4186275632895871,True,16.95555556,0.64,1016.83
428,43402,1.0,1.0,0.5111778096152214,True,17.71111111,0.61,1014.72
429,43401,1.0,1.0,0.3540933302520323,True,17.06111111,0.68,1014.32
430,18824,1.0,1.0,0.47417766403378014,True,18.78888889,0.66,1016.29
431,18823,1.0,1.0,0.36809058649673254,True,17.68888889,0.7,1015.73
432,18820,1.0,1.0,0.3783489808500018,True,17.24444444,0.67,1014.9
433,18819,1.0,1.0,0.4392389235212032,True,17.82222222,0.65,1014.9
434,12672,1.0,1.0,0.5228920601935215,True,18.85,0.63,1013.55
435,18817,1.0,1.0,0.5241850831895052,True,18.86666667,0.63,1014.52
436,18816,1.0,1.0,0.5241746031147938,True,18.86666667,0.63,1014.5
437,379,1.0,1.0,0.4056293222681378,True,18.01111111,0.68,1014.78
438,53666,1.0,1.0,0.4483986014574145,True,18.94444444,0.69,1015.79
439,93299,1.0,1.0,0.8194355747471609,True,17.22222222,0.48,1013.21
440,84397,1.0,1.0,1.0,True,17.16666667,0.4,1013.73
441,84398,1.0,1.0,0.7956167667416129,True,16.10555556,0.48,1013.49
442,35325,1.0,1.0,0.4953909151590186,True,15.95,0.59,1014.84
443,35324,1.0,1.0,0.45110628071375874,True,16.12222222,0.61,1014.83
444,35323,1.0,1.0,0.6284679337365907,True,17.77777778,0.56,1014.84
445,18935,1.0,1.0,0.38645232042310473,True,17.38333333,0.67,1016.13
446,78327,1.0,1.0,0.5168947377602958,True,20.0,0.68,1014.51
447,18933,1.0,1.0,0.7524082206667688,True,19.88333333,0.54,1015.68
448,35103,1.0,1.0,1.0,True,16.08333333,0.39,1013.46
449,16865,1.0,1.0,1.0,True,19.97222222,0.38,1014.68
450,18910,1.0,1.0,0.47087848381561337,True,19.46666667,0.7,1015.58
451,16861,1.0,1.0,1.0,True,19.95,0.41,1016.52
452,16857,1.0,1.0,0.27575890349873,True,15.02222222,0.67,1016.71
453,468,1.0,1.0,0.4737508142867974,True,19.05555556,0.67,1013.0
454,25042,1.0,1.0,0.5550002687692183,True,19.77777778,0.64,1016.96
455,76241,1.0,1.0,0.4176190625642395,True,17.68888889,0.66,1016.68
456,16845,1.0,1.0,0.628239498698436,True,17.75,0.56,1016.33
457,14796,1.0,1.0,0.6853527688948234,True,19.86111111,0.57,1013.99
458,14795,1.0,1.0,0.5381567528036836,True,17.85,0.6,1014.19
459,14794,1.0,1.0,0.5661097541985408,True,17.37222222,0.58,1014.43
460,14793,1.0,1.0,0.2772451476812511,True,15.11666667,0.67,1014.48
461,35272,1.0,1.0,0.29422800535128657,True,15.00555556,0.66,1014.57
462,453,1.0,1.0,0.3755087936496421,True,17.2,0.67,1014.13
463,452,1.0,1.0,0.5139965795681627,True,18.26111111,0.62,1013.75
464,16833,1.0,1.0,0.7516569329273515,True,19.86111111,0.54,1015.94
465,53693,1.0,1.0,0.5936698470743251,True,19.57777778,0.61,1013.96
